Company,Address,TIF ID,TIF District,Completion Date,Actual Costs,Actual Grant,Work Items
Barkaat Foods LLC,3810 S Halsted,T-001,35th/Halsted,8/25/11,"$146,000.00 ","$73,000.00 ",Full rehab
Barkaat Foods LLC,3810 S Halsted,T-001,35th/Halsted,2/18/11,"$154,000.00 ","$77,000.00 ",Full rehab
Bubbly Dynamics LLC,1400 W 46th,T-001,35th/Halsted,4/22/10,"$71,961.86 ","$35,980.93 ","parapet lining, lintels, tuckpointing, windows, awning, green wall, dock door"
Bubbly Dynamics LLC,1400 W 46th,T-001,35th/Halsted,3/24/10,"$71,961.86 ","$17,990.47 ",Roofing
Sabor A Mi,3267 S Halsted ,T-001,35th/Halsted,8/4/09,"$125,658.42 ","$62,829.21 ","HVAC, plumbing,electric, insulation, masonary, carpentry, etc."
Sabor A Mi,3267 S Halsted ,T-001,35th/Halsted,3/26/09,"$82,000.00 ","$40,769.38 ","HVAC, plumbing,electric, insulation, masonary, carpentry, etc."
Gabriela Mendoza,3701 S Halsted,T-001,35th/Halsted,2/27/09,"$44,354.00 ","$33,265.50 ","Windows, Masonry, roof, façade"
Ming Yan Ho,3310 S Halsted,T-001,35th/Halsted,9/22/08,"$105,000.00 ","$76,590.92 ","HVAC, storefront, bathroom, walls, electrical, floors, roof"
Bubbly Dynamics LLC,1400 W 46th,T-001,35th/Halsted,7/24/08,"$92,400.00 ","$45,000.00 ","Greenhouse roof, porch, handrails, sunshades, green facades, floors, windows, front entrance"
Ranjit K Teji MDSC,3344 S Halsted,T-001,35th/Halsted,2/12/08,"$20,744.00 ","$10,372.00 ",HVAC
1154 LILL LTD,1511 W 38th/St,T-001,35th/Halsted,1/17/08,"$321,850.00 ","$50,000.00 ",HVAC
Ranjit K Teji MDSC,3344 S Halsted,T-001,35th/Halsted,1/16/08,"$32,164.00 ","$16,082.00 ","Facade, expansion, sign, tuckpointing, floor, carpet, window, ramp,"
Façade Rebate Project,1763 W 95th,T-009,95th and Western,3/29/11,$0.00 ,"$1,703.90 ",
AGB Investigative,2033 W 95th,T-009,95th and Western,3/19/10,"$3,500.00 ","$1,562.50 ",signage & awning
Phoenix Bean LLC,5438 North Broadway,T-013,Bryn Mawr/Broadway,3/18/11,"$6,700.00 ","$3,350.00 ",
Phoenix Bean LLC,5438 North Broadway,T-013,Bryn Mawr/Broadway,12/15/09,"$19,465.00 ","$9,732.50 ",new boiler system
Robert & Sarah Peters,5430 N Broadway,T-013,Bryn Mawr/Broadway,5/11/09,"$14,253.00 ","$7,126.50 ","signage, storefront, glass & steel removal, green roof, masonry"
Steep Theatre Co,1115 W Berwyn,T-013,Bryn Mawr/Broadway,1/31/09,"$187,149.26 ","$140,361.95 ","Complete Renovation, soundproofing, roof solar panels"
Sweet Miss Givings ,"1229 N North Branch, Suite 123",T-023,Goose Island,2/22/09,"$200,000.00 ","$93,000.00 ","Windows, HVAC, electrical, general construction"
Reggies Bar & Grill,2105-09 S State,T-029,Michigan/Cermak,2/19/11,"$109,850.00 ","$20,650.00 ","masonry, iron work, roof, carpentry, bar area, electrical, plumbing, drywall, doors, trees?"
Reggies Bar & Grill,2105-09 S State,T-029,Michigan/Cermak,12/8/10,"$90,000.00 ","$45,000.00 ","masonry, iron work, roof, carpentry, bar area, electrical, plumbing, drywall, doors, trees?"
Chef Luciano Inc,43-51 E Cermak,T-029,Michigan/Cermak,10/29/10,"$282,350.55 ","$141,175.00 ","façade, storefront, roof, signage, electrical, floor, carpentry"
That's Wassup Bakery and Café,2132 S Michigan,T-029,Michigan/Cermak,10/22/10,"$45,700.00 ","$22,850.00 ","new signage, convection oven, tile, hood ventilation, sinks, counters, plumbing, drywall, electrical, emergency lights, shelves"
That's Wassup Bakery and Café,2132 S Michigan,T-029,Michigan/Cermak,8/6/10,"$15,000.00 ","$7,500.00 ",Plumbing
Reggies Bar & Grill,2105-09 S State,T-029,Michigan/Cermak,7/20/10,"$71,500.00 ","$35,750.00 ","masonry, iron work, roof, carpentry, bar area, electrical, plumbing, drywall, doors, trees?"
That's Wassup Bakery and Café,2132 S Michigan,T-029,Michigan/Cermak,7/20/10,"$27,500.00 ","$13,750.00 ",Hvac
Reggies Bar & Grill,2105-09 S State,T-029,Michigan/Cermak,6/30/10,"$97,200.00 ","$48,600.00 ","masonry, iron work, roof, carpentry, bar area, electrical, plumbing, drywall, doors, trees?"
